theta,x,y,alpha,beta,a,b,l,lp,abs(l-lp),
0.722566,0.769604,0.678498,0.0695009,2.22386,0.765053,0.0897096,1.24689,1.24688,9.84602e-06,
0.733038,0.763007,0.687015,0.0704211,2.23341,0.780307,0.0916348,1.24717,1.2472,3.02186e-05,
0.74351,0.75631,0.695463,0.0713348,2.24297,0.795801,0.0935904,1.2474,1.24747,6.99892e-05,
0.753982,0.749515,0.703841,0.072242,2.25254,0.811544,0.0955773,1.24758,1.24769,0.000109461,
0.764454,0.742694,0.712218,0.0731567,2.26209,0.82752,0.0976239,1.248,1.24793,7.36913e-05,
0.774926,0.735774,0.720523,0.0740647,2.27166,0.843762,0.0997049,1.24837,1.24834,3.20823e-05,
0.785398,0.728755,0.728755,0.0749659,2.28123,0.860281,0.101821,1.24869,1.24869,9.21177e-06,
0.79587,0.721639,0.736914,0.0758601,2.29081,0.877086,0.103974,1.24895,1.249,5.01856e-05,
0.806342,0.714427,0.744998,0.0767473,2.30039,0.894188,0.106165,1.24917,1.24926,9.0834e-05,
0.816814,0.707187,0.753078,0.0776421,2.30997,0.911572,0.108426,1.24962,1.24953,9.12057e-05,
0.827286,0.699851,0.761082,0.0785297,2.31955,0.929276,0.110727,1.25002,1.24997,4.84448e-05,
0.837758,0.692418,0.769009,0.0794099,2.32914,0.947312,0.113072,1.25036,1.25035,6.02606e-06,
0.84823,0.684891,0.776856,0.0802826,2.33874,0.965694,0.115461,1.25065,1.25069,3.60454e-05,
0.858702,0.67727,0.784624,0.0811476,2.34835,0.984434,0.117897,1.25089,1.25097,7.77644e-05,
0.869174,0.669619,0.792388,0.0820205,2.35795,1.00352,0.120413,1.25136,1.25126,0.000103279,
0.879646,0.661875,0.80007,0.0828856,2.36756,1.02299,0.12298,1.25178,1.25172,5.94734e-05,
0.890118,0.654037,0.807669,0.0837428,2.37717,1.04286,0.1256,1.25214,1.25213,1.60379e-05,
0.90059,0.646107,0.815185,0.0845918,2.38679,1.06315,0.128274,1.25245,1.25248,2.70225e-05,
0.911062,0.638086,0.822615,0.0854325,2.39643,1.08388,0.131005,1.25271,1.25278,6.97024e-05,
0.921534,0.630035,0.83004,0.0862813,2.40605,1.10503,0.133831,1.25319,1.25308,0.00011046,
0.932006,0.621892,0.837378,0.0871216,2.41568,1.12666,0.13672,1.25361,1.25355,6.57207e-05,
0.942478,0.613659,0.844629,0.0879534,2.42532,1.14877,0.139674,1.25398,1.25396,2.13798e-05,
0.95295,0.605337,0.851791,0.0887764,2.43497,1.17141,0.142695,1.2543,1.25432,2.25573e-05,
0.963422,0.596926,0.858864,0.0895906,2.44463,1.19458,0.145788,1.25456,1.25463,6.6085e-05,
0.973894,0.588428,0.865846,0.0903957,2.45429,1.21832,0.148954,1.25477,1.25488,0.000109198,
0.984366,0.5799,0.872819,0.091209,2.46395,1.2426,0.152237,1.2552,1.25513,7.06095e-05,
0.994838,0.571284,0.8797,0.0920131,2.47362,1.26749,0.155601,1.25557,1.25555,2.54604e-05,
1.00531,0.562582,0.886488,0.0928079,2.4833,1.29303,0.159051,1.25589,1.25591,1.92556e-05,
1.01578,0.553796,0.893181,0.0935931,2.49298,1.31924,0.162589,1.25615,1.25622,6.3533e-05,
